customer_id,identity_segment,age,income,group_size,location,preferred_price_tier,preferred_rest_type,total_spend,avg_order_value,median_order_value,std_order_value,max_order_value,recency_days,mean_order_gap,std_order_gap,min_order_gap,max_order_gap,orders_first_30d,orders_middle_30d,orders_last_30d,orders_last_7d,orders_last_14d,spend_first_30d,spend_middle_30d,spend_last_30d,unique_restaurants,unique_cuisines,unique_rest_types,restaurant_loyalty,cuisine_loyalty,avg_actual_group_size,std_group_size,avg_price_deviation,rest_type_match_rate,churned,single_order_customer,low_activity_customer
1000001,Couple,43,59373,1,Whitefield,Mid-range,Fine Dining,2052.3801,684.1266784667969,659.780029296875,321.0830440917916,1016.69,18.30000305175781,29.649999618530277,21.42534032526934,14.499996,44.800003,1,1,1,0,0,659.78,375.91,1016.69,3,3,3,0.3333333333333333,0.3333333333333333,1.0,0.0,223.18667602539065,0.3333333333333333,0,0,0
1000002,Office Worker,36,87255,2,HSR,Budget,Cafe,8202.499,630.9615349402794,551.4000244140625,300.4748307557749,1109.85,26.200000762939453,4.574999968210856,1.3883448191574128,2.1999989,7.6000004,5,7,1,0,0,3167.18,4030.46,1004.86,13,13,3,0.0769230769230769,0.0769230769230769,2.0,0.0,297.7569192739633,0.8461538461538461,1,0,0
1000003,Couple,28,102362,3,Koramangala 5th Block,Mid-range,Cafe,14056.701,669.3666694277808,617.6300048828125,339.35518746706134,1456.44,6.199996948242188,4.060000157356262,3.112182998092654,0.9000015,11.299999,8,8,5,1,2,5762.51,4573.36,3720.83,21,17,5,0.0476190476190476,0.1904761904761904,3.0,0.0,350.0209452311198,0.8095238095238095,1,0,0
1000004,Family,55,178855,7,Indiranagar,Mid-range,Casual Dining,10220.66,567.814441257053,575.0799865722656,190.9729036767405,1003.2,68.5,1.2352941176470589,1.2216490041702608,0.099999905,5.2,18,0,0,0,0,10220.66,0.0,0.0,18,18,3,0.0555555555555555,0.0555555555555555,7.0,0.0,167.77667066786023,0.8333333333333333,1,0,0
1000005,Student,24,20379,3,Bannerghatta Road,Budget,Beverage Shop,1250.03,312.5075054168701,306.0500030517578,192.8400365907836,550.39,64.0,6.699999968210856,0.781025291170389,6.2000003,7.6000004,4,0,0,0,0,1250.03,0.0,0.0,4,3,3,0.25,0.5,3.0,0.0,138.84249877929688,0.5,1,0,0
1000006,Food Explorer,22,106654,3,BTM,Mid-range,Confectionery,60530.18,729.2792773878718,696.1500244140625,391.1815271244148,1715.97,0.5999984741210938,1.0695122131487218,0.6203720727401261,0.09999943,3.5,26,30,27,5,13,17699.84,21104.959,21725.38,71,49,13,0.0481927710843373,0.3373493975903614,3.0,0.0,324.03951621917355,0.3373493975903614,0,0,0
1000007,Couple,24,83088,3,Koramangala 1st Block,Mid-range,Microbrewery,25022.68,1471.92234173943,1352.3299560546875,584.5220992530341,2589.7,44.59999847412109,2.718750096857548,1.850123983027492,0.79999924,8.0,9,8,0,0,0,11657.35,13365.329,0.0,12,5,2,0.1176470588235294,0.5294117647058822,3.0,0.0,610.5035184972427,0.8235294117647058,1,0,0
1000009,Student,23,18670,1,Koramangala 1st Block,Budget,Quick Bites,9989.12,399.56479919433593,359.3500061035156,221.8625105189867,1186.99,1.4000015258789062,3.420833269755045,2.0675501047612816,0.5999985,7.799999,9,6,10,2,3,3545.92,1682.2299,4760.97,25,25,2,0.04,0.04,1.0,0.0,152.07200256347656,0.88,0,0,0
1000010,Office Worker,33,62845,2,Koramangala 4th Block,Mid-range,Casual Dining,35369.62,654.9929625899704,593.875,272.8801056919311,1393.06,0.0,1.633962262351558,1.2800152675317968,0.19999981,6.199997,18,19,17,6,10,11882.279,11838.061,11649.28,54,44,5,0.0185185185185185,0.0925925925925925,2.0,0.0,202.64629674840856,0.8703703703703703,0,0,0
1000011,Office Worker,32,43400,2,BTM,Mid-range,Quick Bites,5306.76,408.2123157794659,342.67999267578125,282.0496415370356,969.65,1.5999984741210938,6.950000127156575,3.784537077607383,2.300003,13.599998,4,4,5,2,3,2099.9902,1186.76,2020.0101,13,13,2,0.0769230769230769,0.0769230769230769,2.0,0.0,272.7707707331731,0.8461538461538461,0,0,0
1000012,Food Explorer,29,80265,1,Ejipura,Budget,Quick Bites,1386.72,462.239990234375,473.2900085449219,77.23017261122973,533.35,10.0,14.799999237060549,14.000716425412286,4.8999977,24.7,0,2,1,0,1,0.0,1006.64,380.08,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0.0,274.239990234375,1.0,0,0,0
1000014,Couple,38,65566,4,Bellandur,Premium,Fine Dining,20739.559,2304.395548502604,2765.75,661.1136354123909,2931.96,3.0999984741210938,9.612500190734863,6.152453436256911,2.5,20.199999,3,3,3,1,1,7614.9097,5857.32,7267.33,9,4,3,0.1111111111111111,0.4444444444444444,4.0,0.0,696.3199734157986,0.7777777777777777,0,0,0
1000016,Student,22,31361,2,Frazer Town,Budget,Quick Bites,4169.57,347.464168548584,341.15000915527344,125.90933227729968,622.13,0.8000030517578125,7.136363376270641,4.424540109429098,2.0999994,15.000004,5,3,4,1,3,1677.07,1014.21,1478.29,12,12,2,0.0833333333333333,0.0833333333333333,2.0,0.0,104.11916478474934,0.9166666666666666,0,0,0
1000017,Family,27,64183,6,Frazer Town,Mid-range,Fine Dining,4860.38,972.0759948730469,625.7999877929688,935.8482427324336,2621.46,62.5,5.100000143051148,4.969909820506065,0.8000002,12.200001,5,0,0,0,0,4860.38,0.0,0.0,2,2,1,0.8,0.8,6.0,0.0,583.5079895019531,1.0,1,0,0
1000018,Student,23,26895,3,Rajajinagar,Budget,Quick Bites,3192.17,456.0242876325335,447.9800109863281,120.37343027320864,671.19,1.9000015258789065,10.616666475931805,4.68419421056914,4.700001,16.199999,1,2,4,1,2,671.19,990.95996,1530.02,7,7,2,0.1428571428571428,0.1428571428571428,3.0,0.0,182.0242876325335,0.5714285714285714,0,0,0
1000019,Couple,28,98515,3,City Market,Premium,Fine Dining,35468.656,2086.391755945542,2030.8399658203125,605.0148463099698,3022.99,1.5999984741210938,5.237500101327896,3.0205686904137226,1.7000008,12.5,7,6,4,2,2,14316.3,12314.86,8837.5,13,6,5,0.1764705882352941,0.4705882352941176,3.0,0.0,907.7505780388328,0.7647058823529411,0,0,0
1000020,Family,22,136552,4,BTM,Mid-range,Casual Dining,7054.0195,881.7525100708008,905.155029296875,462.603238872316,1456.19,26.200000762939453,8.185714176722936,5.653149472652492,2.5,16.300001,3,4,1,0,0,2885.12,2789.1199,1379.78,8,8,1,0.125,0.125,4.0,0.0,408.76000213623047,1.0,1,0,0
1000021,Couple,33,79465,2,Mysore Road,Premium,Pub,3926.42,1308.8066813151042,1434.8499755859375,239.7906819144412,1459.29,51.20000076293945,9.899999618530272,5.232588562341469,6.200001,13.599998,2,1,0,0,0,2467.13,1459.29,0.0,3,3,1,0.3333333333333333,0.3333333333333333,2.0,0.0,238.19331868489584,1.0,1,0,0
1000022,Office Worker,30,43220,1,Thippasandra,Mid-range,Casual Dining,2484.2397,496.8479919433594,396.4299926757813,191.10645970016577,825.66,18.699996948242188,16.825000762939453,19.351550309720658,4.6000004,45.7,3,0,2,0,0,1695.91,0.0,788.32996,5,5,3,0.2,0.2,1.0,0.0,170.01599731445313,0.6,0,0,0
