address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,listed_in(type),listed_in(city),popularity_score,appeal_score
"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Cafe Shuffle,1,1,4.2,150,Banashankari,Cafe,"Cafe, Italian, Continental",600,Cafes,Banashankari,0.31502437752974366,0.6341826730017943
"6th Block, 3rd Stage, Banashankari, Bangalore",The Coffee Shack,1,1,4.2,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500,Cafes,Banashankari,0.31552342695940144,0.6393905205434578
"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",Caf-Eleven,0,0,4.0,424,Banashankari,Cafe,"Cafe, Continental",450,Cafes,Banashankari,0.2989850361830001,0.651183744166284
"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,1,0,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Cafes,Banashankari,0.29078790015945044,0.6448167532738462
"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",Cafe Vivacity,1,0,3.8,90,Banashankari,Cafe,Cafe,650,Cafes,Banashankari,0.26127269103397516,0.5440779195020734
"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",Catch-up-ino,1,0,3.9,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes,Banashankari,0.27570871151723286,0.5779683793190279
"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Kirthi's Biryani,1,0,3.8,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700,Cafes,Banashankari,0.2631975959769409,0.565150037625223
"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",T3H Cafe,0,0,3.9,93,Banashankari,Cafe,"Cafe, Italian, American",300,Cafes,Banashankari,0.2742828560039248,0.5604096072799252
"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",360 Atoms Restaurant And Cafe,1,0,3.1,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,Cafes,Banashankari,0.16820533852569605,0.42168674934710737
"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",The Vintage Cafe,1,0,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Cafes,Banashankari,0.1570487857230467,0.4241285064583278
"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",Woodee Pizza,1,0,3.7,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Cafes,Banashankari,0.25157764013246653,0.5575968935213964
"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",Cafe Coffee Day,0,0,3.6,28,Banashankari,Cafe,"Cafe, Fast Food",900,Cafes,Banashankari,0.2332561633754446,0.4737874493549814
"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",My Tea House,1,0,3.6,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Cafes,Banashankari,0.23446814056175638,0.5014113405133493
"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",Hide Out Cafe,0,0,3.7,31,Banashankari,Cafe,Cafe,300,Cafes,Banashankari,0.2462663283453943,0.48650834439278934
"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",CAFE NOVA,0,0,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,Cafes,Banashankari,0.1810372715564823,0.4236365691975668
"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",Coffee Tindi,1,0,3.8,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200,Cafes,Banashankari,0.26073799521648466,0.535822223110781
"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",Sea Green Cafe,0,0,3.3,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,Cafes,Banashankari,0.19369097264810492,0.4027184215425657
"940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore",Cuppa,0,0,3.3,23,Banashankari,Cafe,"Cafe, Fast Food",550,Cafes,Banashankari,0.19436825401692623,0.4439485912480522
"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Srinathji's Cafe,0,0,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari,0.26334018152827177,0.5663673095132129
"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Redberrys,1,0,4.0,219,Basavanagudi,Cafe,"Cafe, Italian",600,Cafes,Banashankari,0.2916775266772967,0.6196794713938878
"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Foodiction,1,0,2.8,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,Delivery,Banashankari,0.1470693303078621,0.4217476076246868
"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",Sweet Truth,1,0,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,Banashankari,0.27221536550962827,0.5110480189869788
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Ovenstory Pizza,1,0,3.9,172,Banashankari,Delivery,Pizza,750,Delivery,Banashankari,0.27709892064270814,0.5902998003826501
"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",Faasos,1,0,4.2,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,Banashankari,0.32447067030540905,0.6891413226630857
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Behrouz Biryani,1,0,3.9,230,Banashankari,Delivery,Biryani,650,Delivery,Banashankari,0.2791664111370047,0.6039327795943717
"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",Fast And Fresh,1,0,2.8,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery,Banashankari,0.13227607935729177,0.3970591295156519
"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",Szechuan Dragon,1,0,4.2,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,Delivery,Banashankari,0.368387020115295,0.7527259063331111
"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Empire Restaurant,1,0,4.4,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,Banashankari,0.5095808291426469,0.8415337051333414
"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",Maruthi Davangere Benne Dosa,1,0,4.0,17,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari,0.2844769563350914,0.4817225828943075
"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Chaatimes,1,0,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari,0.2628054857107812,0.5616122808188464
"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",Havyaka Mess,0,0,3.9,28,Banashankari,Mess,South Indian,300,Delivery,Banashankari,0.27196584079479935,0.4998374368976042
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",McDonald's,1,0,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500,Delivery,Banashankari,0.2811626088556359,0.613954854338167
"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",Domino's Pizza,1,0,3.9,540,Banashankari,Quick Bites,"Pizza, Fast Food",800,Delivery,Banashankari,0.29021679136514156,0.6423393191876428
"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,1,1,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery,Banashankari,0.45240248988102527,0.8559304276100739
"2nd Stage, Banashankari, Bangalore",Hotboxit,0,0,3.8,36,Banashankari,Delivery,"North Indian, Continental, Italian",400,Delivery,Banashankari,0.2593477860910094,0.5024672426550993
"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",Kitchen Garden,1,0,3.6,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari,0.24095578314730773,0.5517072419695429
"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",Recipe,1,0,4.0,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari,0.312530663559426,0.6799711398661972
"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",Beijing Bites,1,0,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850,Delivery,Banashankari,0.26936518766098366,0.6119578015938081
"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",Tasty Bytes,1,0,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari,0.17647530050288235,0.46021058750155946
"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",Petoo,0,0,3.7,21,Banashankari,Quick Bites,North Indian,450,Delivery,Banashankari,0.2459098644670673,0.47113926158349945
"1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore",Shree Cool Point,1,0,4.1,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150,Delivery,Banashankari,0.2977722924077026,0.5172040952593528
"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",Corner House Ice Cream,0,0,4.3,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Banashankari,0.3348786489635716,0.6989544482241081
"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",Biryanis And More,1,0,4.0,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari,0.30590043542254386,0.6682970097856742
"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Roving Feast,0,0,4.0,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari,0.32119273580277197,0.6915063850180496
"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",FreshMenu,1,0,3.9,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari,0.29331802710658644,0.6488590302259859
"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",Banashankari Donne Biriyani,1,0,3.8,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Delivery,Banashankari,0.26177174046363294,0.5505959516237735
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",Wamama,1,1,4.2,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,Banashankari,0.32229624064761436,0.6811427243211293
"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",Five Star Chicken,0,0,3.6,55,Banashankari,Quick Bites,"Fast Food, Burger",200,Delivery,Banashankari,0.2342186158469275,0.497201284774533
"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore",XO Belgian Waffle,1,0,3.7,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400,Delivery,Banashankari,0.2457672789157365,0.4629069207098885
"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Peppy Peppers,0,0,4.2,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,Delivery,Banashankari,0.3183751379860174,0.6616264375253323
"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",Goa 0 Km,1,1,3.6,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari,0.23806842573285905,0.5364505887905349
"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Chinese Kitchen,1,0,3.8,58,Basavanagudi,Quick Bites,Chinese,150,Delivery,Banashankari,0.26013200662332875,0.5241374827377737
"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",1947,0,1,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850,Delivery,Banashankari,0.3126732491107568,0.6801894775230923
"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",Cake of the Day,0,0,3.7,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150,Delivery,Banashankari,0.24794170857353118,0.5235753666353578
"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Kabab Magic,1,0,4.1,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari,0.35808598062063035,0.7337148988973399
"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",Namma Brahmin's Idli,1,0,3.6,34,Jayanagar,Quick Bites,South Indian,100,Delivery,Banashankari,0.2334700417024408,0.48048322441505875
"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",Gustoes Beer House,0,0,4.1,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Delivery,Banashankari,0.3277152581871703,0.7037668624765825
"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore",Sugar Rush,0,0,3.8,39,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari,0.25945472525450747,0.50609201277156
"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",Burger King,1,0,3.2,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,Banashankari,0.18317605482644428,0.45194457181783465
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",The Good Bowl,1,0,3.6,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery,Banashankari,0.23247194284312522,0.4214119376296198
"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",The Biryani Cafe,0,0,4.1,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,Delivery,Banashankari,0.3153103152213908,0.6803528294154272
"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore",Spicy Tandoor,0,0,,0,Banashankari,Quick Bites,North Indian,150,Delivery,Banashankari,,0.34420194549135175
"100 Feet Road, 3rd Stage, Banashankari, Bangalore",LSD Cafe,0,0,2.9,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,Delivery,Banashankari,0.1449297804489145,0.4115417630659581
"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Rolls On Wheels,0,0,3.6,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,Delivery,Banashankari,0.2429163344781062,0.5595257884400648
"39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru",Om Sri Vinayaka Chats,0,0,,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500,Delivery,Banashankari,,0.34420194549135175
"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,1,0,4.1,558,Basavanagudi,Quick Bites,South Indian,150,Delivery,Banashankari,0.3166648779590334,0.6836418047996433
"16th Main Road, Near PESIT College, Banashankari, Bangalore",Devanna Dum Biriyani Centre,1,0,3.6,28,Banashankari,Quick Bites,"Biryani, South Indian",300,Delivery,Banashankari,0.2332561633754446,0.4737874493549814
"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",Kolbeh,0,0,3.7,22,Banashankari,Quick Bites,Fast Food,500,Delivery,Banashankari,0.2459455108549,0.4729627156694011
"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",Upahar Sagar,0,0,3.8,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery,Banashankari,0.25945472525450747,0.50609201277156
"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",Kadalu Sea Food Restaurant,1,0,3.8,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery,Banashankari,0.26351841346743526,0.5678416843000165
"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Frozen Bottle,1,0,4.2,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery,Banashankari,0.3148817919784129,0.6325894829697114
"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",Parimala Sweets,0,0,3.5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200,Delivery,Banashankari,0.21985388813933515,0.4445326777886057
"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",Vaishali Deluxe,0,0,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari,0.2595616644180056,0.5094545414373817
"161/C, 6th Main, 80 Feet Road, Bhuvaneshwari Nagercoil, Banashankari, Bangalore",Chill Out,0,0,,0,Banashankari,Quick Bites,"South Indian, Chinese",100,Delivery,Banashankari,,0.34420194549135175
"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",The Big O Bakes,0,0,4.0,66,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari,0.28622362933889367,0.5564135303937409
"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Meghana Foods,1,0,4.4,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery,Banashankari,0.492363623819453,0.837118951433651
"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Krishna Sagar,0,0,3.5,31,Banashankari,Quick Bites,North Indian,200,Delivery,Banashankari,0.22045987673249107,0.4680821131250411
"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore",Dessert Rose,0,0,3.5,7,Banashankari,Dessert Parlor,Desserts,500,Delivery,Banashankari,0.21960436342450626,0.4233848395708035
"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore",Chickpet Donne Biryani House,0,0,3.7,21,Banashankari,Quick Bites,Biryani,250,Delivery,Banashankari,0.2459098644670673,0.47113926158349945
"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore",Me And My Cake,0,0,,0,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,Banashankari,,0.34420194549135175
"Shop 18 , 3rd cross road,Markandeya Layout, Banashankari, Bangalore",Sunsadm,0,0,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari,,0.34420194549135175
"625, 5th Cross Road, Hanumanthnagar, Banashankari, Bangalore",Annapooraneshwari Mess,0,0,,0,Banashankari,Mess,South Indian,200,Delivery,Banashankari,,0.34420194549135175
"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore",Thanco's Natural Ice Creams,0,0,3.2,9,Banashankari,Dessert Parlor,Ice Cream,300,Delivery,Banashankari,0.18096597878081688,0.4195277814457427
"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",Nandhini Deluxe,0,0,2.6,283,Banashankari,Casual Dining,North Indian,600,Delivery,Banashankari,0.11331373420826689,0.37049836470011266
"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",Vi Ra's Bar and Restaurant,0,0,3.3,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800,Delivery,Banashankari,0.1957584631424015,0.4627699234858385
"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",Kaggis,0,0,3.8,64,Banashankari,Quick Bites,"Fast Food, Bakery",250,Delivery,Banashankari,0.26034588495032496,0.5286164648726279
"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Ayda Persian Kitchen,0,0,3.7,39,Banashankari,Casual Dining,"North Indian, Iranian",950,Delivery,Banashankari,0.24655149944805588,0.4956603882957864
"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",Chatar Patar,0,0,3.7,65,Banashankari,Quick Bites,"Fast Food, Street Food",300,Delivery,Banashankari,0.24747830553170608,0.5162000083620158
"96, Opposite Jain Collage, Basavanagudi, Bangalore",Polar Bear,1,0,3.8,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Banashankari,0.2605954096651539,0.5333341693760678
"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",Kidambi's Kitchen,0,0,3.5,52,Banashankari,Quick Bites,South Indian,300,Delivery,Banashankari,0.22120845087697774,0.4832731700472058
"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",Mane Thindi,0,0,3.7,130,Banashankari,Quick Bites,South Indian,200,Delivery,Banashankari,0.24979532074083155,0.5443269327769259
"1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore",Kotian Karavali Restaurant,0,0,3.5,10,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari,0.21971130258800436,0.43430672454955466
"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",Floured-Baked With Love,0,0,3.8,45,Banashankari,"Takeaway, Delivery",Bakery,400,Delivery,Banashankari,0.2596686035815037,0.5125893087093948
"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",CAFE NOVA,0,0,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,Delivery,Banashankari,0.1810372715564823,0.4236365691975668
"27, 80 Feet Road, Srinivasnagar, Banashankari, Bangalore",Cakes & Slices,0,0,3.5,13,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari,0.21981824175150247,0.442292427323944
"Number 42, 4th Block, 6th Stage Banashankari, Vrishabhvachi Nagar, Opposite RV College of Architecture, Bangalore",Spice 9,0,0,3.4,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,Delivery,Banashankari,0.20673678400588738,0.42398051211211035
"1722, 13th Main Road 31st Cross BSK, 2nd Stage, Banashankari, Bangalore",Coffee Shopee,0,0,,0,Banashankari,"Takeaway, Delivery",Beverages,250,Delivery,Banashankari,,0.34420194549135175
"2, 3rd Cross, Near Pesit College, Banashankari, Bangalore",Naveen Kabab & Biriyani Mane,0,0,3.2,9,Banashankari,Quick Bites,Biryani,300,Delivery,Banashankari,0.18096597878081688,0.4195277814457427
"8, Katriguppe Main Road, Vivekananda Nagar, 3rd Stage, Banashankari, Bangalore",Katriguppe Donne Biryani,0,0,3.2,4,Banashankari,Quick Bites,North Indian,300,Delivery,Banashankari,0.18078774684165339,0.4008163589600885
"594, 24 The Cross BSK, Opposte Oriental Bank, Banashankari, Bangalore",Hari Super Sandwich,0,0,,0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200,Delivery,Banashankari,,0.34420194549135175
"7/1, Behind BMS College Hostel, 80 Feet Road, 1st Stage, Srinivas Nagar Bank Colony, Banashankari, Bangalore",Atithi Point Ande Ka Funda,0,0,3.1,29,Banashankari,Quick Bites,North Indian,150,Delivery,Banashankari,0.16877568073101923,0.4306714586501649
"3967, VHBC Society, Girinagar Phase 4, Hosekerehalli Mani Road, Banashankari 3rd Stage, Banashankari, Bangalore",Just Bake,0,0,3.4,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery,Banashankari,0.20673678400588738,0.42398051211211035
"Shop 25, 1st Cross, 50 Feet Main Road, Near BDA Park, Girinagar, Banashankari, Bangalore",Dharwad Line Bazaar Mishra Pedha,0,0,,0,Banashankari,Dessert Parlor,Mithai,150,Delivery,Banashankari,,0.34420194549135175
"Near Seetha Circle, Vivekananda Park Road, Girinagar, Banashankari, Bangalore",Cake Bite,0,0,,0,Banashankari,Bakery,Bakery,300,Delivery,Banashankari,,0.34420194549135175
"41/10, Near PESIT Collage, 8th Main Road, 1st Cross, Dwarakanagar, Banashankari, Bangalore",Aarush's Food Plaza,0,0,,0,Banashankari,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari,,0.34420194549135175
